id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,Year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
05eH9JvVoZLAftdZXrHTDg,Strada Del Sole,22,195093,0,['Rainhard Fendrich'],['4vWQjpI68kWBNkXOEbi1D6'],1/1/1990,1990,0.627,0.432,7,-14.34,1,0.0448,0.555,0,0.124,0.67,140.105,4
05GcclyhZv49AF9ZMX20dG,Night Life in Twin Peaks - Instrumental,36,207240,0,['Angelo Badalamenti'],['3Eeb1U0VJTDaFpBHV4DmHl'],7/9/1990,1990,0.216,0.124,5,-25.85,1,0.0368,0.853,0.94,0.0898,0.0344,123.66,3
05hV1vAYFcpipJ02ycz8f7,In De Hemel Gelogeerd,13,167533,0,['Urbanus'],['3dQcvQPQXcOkCSmBTEZqXL'],1/1/1990,1990,0.414,0.38,10,-14.787,1,0.0651,0.651,0,0.224,0.678,202.657,4
05IzsmArkmBWWclTfasnlp,El diablo,47,268093,0,['Litfiba'],['1HmcAWATwElCmQheMCKGI7'],19/11/1990,1990,0.627,0.681,0,-11.69,1,0.0326,0.0286,0.0282,0.175,0.817,126.025,4
05j3rb3W3Bil5QAxn4Q2hY,My Only Lover - 1990 Digital Remaster,40,208000,0,['Gregory Isaacs'],['6QHu71f8LLeT8n0GzfbYFc'],1/1/1990,1990,0.851,0.248,10,-16.54,0,0.337,0.143,1.69E-05,0.0827,0.92,135.441,4
05JpFEZhkJxHhuZOoD7uOx,Alone,43,453467,0,['Blues Traveler'],['3pHeBYl1yujXcZqqfF1UyQ'],1/1/1990,1990,0.454,0.425,2,-11.262,1,0.039,0.168,0.000138,0.158,0.552,143.513,4
05MvdMKvVahOp9X64639DN,Hat??ran Yeter,35,287333,0,['Ferdi Tayfur'],['6WLkcqDXHgfe80TNMH1C5z'],16/10/1990,1990,0.537,0.443,7,-15.297,0,0.0406,0.431,8.05E-06,0.404,0.394,91.841,4
05NTDOLwjVq2qZBKou5WQ6,Signora Delle Ore Scure,19,290360,0,['Claudio Baglioni'],['5zBAb4P2NoTps0shbgZvgj'],16/11/1990,1990,0.447,0.298,4,-19.05,0,0.04,0.518,2.03E-05,0.126,0.613,79.609,4
05NYcsjJwOYq4jIiKPVj9p,Hard To Handle,71,188067,0,['The Black Crowes'],['5krkohEVJYw0qoB5VWwxaC'],13/2/1990,1990,0.599,0.79,4,-3.58,1,0.043,0.00257,0.00181,0.312,0.961,103.783,4
05qZmpvP4q03cWvZu0AgkF,Caje Sukarije,21,312692,0,['Zdravko Colic'],['3Lf5uaye2qaiLNrNDCLraN'],2/2/1990,1990,0.778,0.571,7,-13.406,1,0.0399,0.000855,0.051,0.354,0.519,115.521,4
05sC9VgLMU5MTEsTFrMmyy,Trilogi,15,919333,0,['Wings'],['7c5278WShlxTk3vS9XoTf8'],22/2/1990,1990,0.206,0.782,0,-11.221,1,0.312,0.04,0.0858,0.257,0.377,176.994,4
